Sr No,date,startup,vertical,subvertical,city,investors,round,amount,year,month
1,2020-01-09,Byjus,Education,E-Learning,Bangalore,Tiger Global Management,Unknown,1650.0,2020,1
2,2020-01-13,Shuttl,Logistics,App Based Shuttle Service,Gurgaon,Susquehanna Growth Equity,Series C,66.3992505,2020,1
3,2020-01-09,Mamaearth,E-Commerce,Retailer Of Baby And Toddler Products,Bangalore,Sequoia Capital India,Series B,151.460595,2020,1
4,2020-01-02,Https://Www.Wealthbucket.In/,Finance,Online Investment,Delhi,Vinod Khatumal,Seed,24.75,2020,1
5,2020-01-02,Fashor,Lifestyle & Fashion,Embroiled Clothes For Women,Mumbai,Sprout Venture Partners,Seed,14.85,2020,1
6,2020-01-13,Pando,Logistics,Open-Market Freight Management Platform,Chennai,Chiratae Ventures,Series A,74.25,2020,1
7,2020-01-10,Zomato,Software,Online Food Delivery Platform,Gurgaon,Ant Financial,Unknown,1237.5,2020,1
8,2019-12-12,Ecozen,Software,Agritech,Pune,Sathguru Catalyzer Advisors,Series A,49.5,2019,12
9,2019-12-06,Cardekho,E-Commerce,Automobile,Gurgaon,Ping An Global Voyager Fund,Series D,577.5,2019,12
10,2019-12-03,Dhruva,Aerospace,Satellite Communication,Bangalore,"Mumbai Angels, Ravikanth Reddy",Seed,412.5,2019,12
11,2019-12-13,Rivigo,Software,Logistics Services And Solutions,Gurgaon,"SAIF Partners, Spring Canter Investment Ltd.",Series F,165.0,2019,12
12,2019-12-17,Healthi,Consumables,Food Solutions For Corporate,Bangalore,"Paytm, NPTK, Sabre Partners and Neoplux",Series C,99.0,2019,12
13,2019-12-16,Licious,E-Commerce,Online Meat And Seafood Ordering Startup,Bangalore,Vertex Growth Fund,Series E,247.5,2019,12
14,2019-12-16,Incred,Finance,Non-Banking Fiothercial Company,Mumbai,undisclosed,Debt,48.675,2019,12
15,2019-12-14,Trell,Gaming & Entertainment,Experience Discovery Platform,Bangalore,Ruizheng Investment,Seed,16.5,2019,12
16,2019-12-11,Rein Games,Gaming & Entertainment,Real Money Based Gaming Startup,Noida,Manipal Education and Medical Group (MEMG),Seed,412.5,2019,12
17,2019-12-20,Lenskart,E-Commerce,Online Eyewear Shopping Portal,Faridabad,SoftBank Vision Fund,Series G,1905.75,2019,12
18,2019-11-13,Freshworks,Software,Business And Customer Engagement Tools,Outside India,"Sequoia, CapitalG, Accel",Series H,1237.5,2019,11
19,2019-11-14,Misters,Healthcare & Hospitality,Men'S Health And Wellness Brand,Gurgaon,"Sauce.vc, Rainforest Ventures",Series B,4.0095,2019,11
20,2019-11-13,Sunstone Eduversity Pvt Ltd,Education,Elearning,Gurgaon,"Prime Venture Partners, LetsVenture, PS1 Venture and GlobalLogic co-founder Rajul Garg",Seed,12.375,2019,11
21,2019-11-17,Burger Singh,Consumables,Indian Burger Brand,Gurgaon,RB Investments,Unknown,0.0,2019,11
22,2019-11-18,Healthi,Healthcare & Hospitality,Healthcare Services,Gurgaon,"DG Daiwa Ventures, DG Incubation",Series B,99.0,2019,11
23,2019-11-15,Ninjacart,Logistics,Agritech,Bangalore,Trifecta Capital Advisors,Debt,214.5,2019,11
24,2019-11-20,Aye Finance,Finance,Fiothercial Services To Msmes,Gurgaon,FinTech,Debt,143.64293625,2019,11
25,2019-11-12,Supergaming,Gaming & Entertainment,Social Gaming Platform,Pune,Dream Incubator,Seed Funding,10.725,2019,11
26,2019-11-20,Clumio,Software,Recovery Software,San Jose,"Altimeter Capital, Sutter Hill Ventures",Series C,1113.75,2019,11
27,2019-11-11,Ebikego,Logistics,Electric Bike Rental,Amritsar,Startup Buddy,Seed,2.475,2019,11
28,2019-11-19,Digit,E-Commerce,Virtual E-Commerce Platform,Delhi,Amour Infrastructure,Seed Funding,1815.0,2019,11
29,2019-11-18,Medikabazaar,Healthcare & Hospitality,B2B Platform For Medical Supplies,Mumbai,"Ackermans & van Haaren, HealthQuad, Rebright Partners, Toppan Printing",Series B,130.35,2019,11
30,2019-11-15,Vogo,Logistics,Scooter Sharing App,Bangalore,"Matrix Partners, Stellaris Venture Partners, Kalaari Capital",Series B,2334.75,2019,11
31,2019-11-19,Furtados School Of Music,Education,Music Education,Outside India,IAN Fund and DSG Consumer Partners,Unknown,1650.0,2019,11
32,2019-11-25,Paytm,Finance,Mobile Wallet,Noida,Vijay Shekhar Sharma,Unknown,8250.0,2019,11
33,2019-10-04,Dunzo,Marketing,Delivery Service,Bangalore,Lightbox,Series D,371.25,2019,10
34,2019-10-02,Udaan,Logistics,Business Development,Bangalore,"Altimeter Capital, DST Global",Series D,4826.25,2019,10
35,2019-10-21,The Man Company,Consumables,Beauty And Grooming,Gurgaon,Ayushmann Khurana,Unknown,0.0,2019,10
36,2019-09-05,Fpl Technologies,Finance,Fiothercial Services,Pune,"Matrix Partners India, Sequoia India",Seed,37.125,2019,9
37,2019-09-04,Cashflo,Finance,Invoice Discounting Platform And Sme Lending Marketplace,Mumbai,SAIF Partners,Series A,27.225,2019,9
38,2019-09-04,Digit,Marketing,Digital Marketing Firm,Mumbai,TIW Private Equity,Unknown,49.5,2019,9
39,2019-09-04,3Rdflix,Software,Education Technology,Hyderabad,Exfinity Venture Partners,Seed,41.25,2019,9
40,2019-09-04,75F,Cutting Edge Tech,Building Automation System,Outside India,Breakthrough Energy Ventures,Series A,148.5,2019,9
41,2019-09-04,Myelin Foundry,Software,Deep-Technology,Bangalore,Endiya Partners,Seed,8.25,2019,9
42,2019-09-04,Atomberg,Software,Consumer Electronics Home Appliances,Mumbai,A91 Partners,Series A,82.5,2019,9
43,2019-09-04,Goqii,Healthcare & Hospitality,Wearable Fitness Bands,Outside India,Bennett Coleman and Company Ltd (BCCL),Series C,3712.5,2019,9
44,2019-09-03,Vyapar App,Finance,Mobile-Based Accounting Software,Bangalore,"India Quotient, Axilor Ventures",Series A,41.25,2019,9
45,2019-08-01,Cardekho,E-Commerce,Automotive,Gurgaon,SC GG India Mobility Holdings LLC,Series C,165.0,2019,8
46,2019-08-01,Progcap,Finance,Supply Chain Management,Delhi,Sequoia India,Series A,41.25,2019,8
47,2019-08-01,Mypetrolpump,Cutting Edge Tech,Fuel Delivery,Bangalore,undisclosed,Seed,13.2,2019,8
48,2019-08-01,Alteria Capital,Finance,Vc Funds,Mumbai,"Azim Premji, Binny Bansal",Unknown,1155.0,2019,8
49,2019-08-01,Pine Labs,Software,Last-Mile Retail Transaction Technology,Noida,Pine Labs Pte Ltd,Unknown,314.16,2019,8
50,2019-08-12,Meesho,E-Commerce,Social Commerce,Bangalore,Naspers,Series D,1031.25,2019,8
51,2019-08-13,Cars24,E-Commerce,Car Retail,Gurgaon,MS Dhoni,Series D,90.75,2019,8
52,2019-08-13,Uniphore,Software,Conversational Ai,Outside India,March Capital Partners,Series C,420.75,2019,8
53,2019-08-23,Zendrive,Automobile,Road Safety Analytics,Outside India,XL Innovate,Series B,305.25,2019,8
54,2019-08-23,Lo Foods,Consumables,Low Carb Food For Diabetics,Bangalore,"Rashmi Daga (founder, FreshMenu), Raveen Sastry (co-founder, Myntra) and Mitesh Shah (finance chief, BookMyShow)",Seed,4.125,2019,8
55,2019-08-23,Tala,Finance,Digital Lending Platform,Outside India,RPS Ventures,Series D,907.5,2019,8
56,2019-08-22,Indwealth,Finance,Wealth Management,Gurgaon,Tiger Global Management,Unknown,123.75,2019,8
57,2019-08-21,Hungerbox,Consumables,B2B Foodtech,Bangalore,One97 Communications Ltd.,Series C,54.3675,2019,8
58,2019-08-23,Admitkard,Education,University Admissions,Noida,Growth DNA,Seed,8.25,2019,8
59,2019-08-19,Mishry Reviews,Software,Product Review,Gurgaon,Vir Sanghvi,Series A,0.0,2019,8
60,2019-08-19,Grofers,E-Commerce,Grocery Delivery,Gurgaon,Softbank Vision Fund,Series F,577.5,2019,8
61,2019-08-27,Rapido,Logistics,Bike Taxi,Bangalore,Westbridge Capital,Series B,32175.0,2019,8
62,2019-07-02,Renewbuy,Finance,Auto Insurance,Gurgaon,"Lok Capital, IIFL Wealth",Series B,156.75,2019,7
63,2019-07-02,Atlan,Software,Big Data,Outside India,WaterBridge Ventures,Seed,20.625,2019,7
64,2019-07-01,Wizcounsel,Compliance,Consulting,Delhi,Kapil Dev,Seed,1.19625,2019,7
65,2019-07-03,Ola,Logistics,Cabs,Bangalore,"DIG Investment Ab, Deshe Holdings, Samih Toukan and Hussam Khoury",Series J,8.25,2019,7
66,2019-07-01,Uniphore,Cutting Edge Tech,Speech Recognition,Outside India,March Capital Partners,Series C,314.16,2019,7
67,2019-07-04,Daalchini Technologies,Consumables,Digital Vending Machine,Delhi,Artha Venture,Seed,4.125,2019,7
68,2019-07-10,Byjus,Education,Education,Bangalore,Qatar Investment Authority,Unknown,1237.5,2019,7
69,2019-07-11,Moglix,E-Commerce,Industrial Tools And Equipments,Outside India,"Composite Capital Management, Sequoia Capital India, Tiger Global Management",Series D,495.0,2019,7
70,2019-07-10,Ezyhaul,Cutting Edge Tech,Logistics,Outside India,Undisclosed,Series B,132.0,2019,7
71,2019-07-10,Indus Os,Cutting Edge Tech,Smartphone Operating System,Mumbai,Ventureast,Series B,47.4375,2019,7
72,2019-07-10,Healthassure,Healthcare & Hospitality,Primary Care Medical Network,Mumbai,Blume Ventures,Series A,20.625,2019,7
73,2019-07-09,House Of Msasaba,Lifestyle & Fashion,Clothes And Apparel,Mumbai,Binny Bansal,Series A,8.25,2019,7
74,2019-07-08,Board Infinity,Education,Full-Stack Career Platform,Mumbai,Multiple Angel Investors,Seed,2.63674125,2019,7
75,2019-06-05,Nobroker,E-Commerce,Real Estate,Bangalore,General Atlantic,Series C,420.75,2019,6
76,2019-06-04,Bira91,Consumables,Brewery,Delhi,Anicut Capital,Debt,82.5,2019,6
77,2019-06-03,Fabhotels,E-Commerce,Hospitality,Gurgaon,"Goldman Sachs, Accel Partners and Qualcomm",Unknown,40.342298205,2019,6
78,2019-06-03,Avail Finance,Finance,Fintech,Bangalore,Matrix Partners,Series A,74.25,2019,6
79,2019-06-04,Bharatpe,Finance,Fintech,Delhi,Insight Partners,Series B,618.75,2019,6
80,2019-06-04,Recykal,Energy & Waste Management,Optimization,Hyderabad,"Triton Investment Advisors, Pidilite Industries director Ajay Parekh",Seed,214.5,2019,6
81,2019-06-03,Agara Labs,Cutting Edge Tech,Artificial Intelligence,Bangalore,Blume Ventures and RTP Global,Seed,20.625,2019,6
82,2019-06-06,Sistemabio,Agriculture,Hybrid Reactor Biodigestor,Outside India,"Shell Foundation, DILA CAPITAL, Engie RDE Fund, EcoEnterprise Fund, EDFIMC (ElectriFI), Endeavor Catalyst Fund, CoCapital, Triodos, Alpha Mundi, and Lendahand",Unknown,22.59703611,2019,6
83,2019-06-06,Chakr Innovation,Energy & Waste Management,Renewable Energy,Delhi,IAN Fund,Series A,214.5,2019,6
84,2019-06-06,Pratilipi,Software,E-Books,Bangalore,Qiming Venture Partners,Series B,124.653375,2019,6
85,2019-06-10,Bolo App,Software,Video Platform,Bangalore,Nexus Venture Partners,Seed Funding,3.54915,2019,6
86,2019-06-10,Okcredit,Finance,Fiothercial Services,Haryana,Tiger Global Management,Series A,127.875,2019,6
87,2019-06-06,Biz2Credit,Finance,Online Lending Platform,Outside India,WestBridge Capital,Series B,429.0,2019,6
88,2019-06-08,Vogo,Logistics,Dockless Scooter Rental Company,Bangalore,Alteria Capital,Debt,29.568,2019,6
89,2019-06-04,Leegality,Software,Digital Documentation,Bangalore,Mumbai Angels,Series A,28.05,2019,6
90,2019-05-06,Ola,Logistics,Cabs,Bangalore,Tata Sons,Series A,0.0,2019,5
91,2019-05-06,Saahas Zero Waste,Energy & Waste Management,Optimization,Bangalore,C4D Partners,Unknown,7.16595,2019,5
92,2019-05-05,Styledotme,E-Commerce,Fashion And Shopping,Delhi,"Indian Angel Network and other angel investors, Innov8 founder Ritesh Malik, Josh Talks founders Supriya Paul and Shobha Banga, and former Hero Corporate president Rohit Chanana",Bridge,0.0,2019,5
93,2019-05-01,Blackbuck,Logistics,Logistics,Bangalore,"Goldman Sachs Investment Partners and Silicon Valley-based Accel, Wellington, Sequoia Capital, B Capital, LightStreet, Sands Capital and International Finance Corporation,",Series D,1237.5,2019,5
94,2019-05-02,Zenoti,Software,Beauty And Wellness Industry,Hyderabad,Tiger Global Management,Series C,412.5,2019,5
95,2019-05-28,Ather Energy,Automobile,Electric Vehicle,Bangalore,Sachin Bansal,Series C,420.75,2019,5
96,2019-05-28,Freshvnf,Agriculture,Fresh Agriculture Produces,Mumbai,Equanimity Ventures,Seed,1155.0,2019,5
97,2019-05-30,Glowroad,E-Commerce,Retail,Bangalore,"Korea Investment Partners, Vertex Ventures",Series B,94.875,2019,5
98,2019-05-31,Bira91,Consumables,Brewery,Delhi,Sixth Sense Ventures,Series B,46.2,2019,5
99,2019-04-16,Kuvera,Finance,Wealth Management,Bangalore,Eight Roads,Series A,371.25,2019,4
100,2019-04-12,Medlife,E-Commerce,Online Medicine,Bangalore,Prasid Uno Family Trust,Unknown,140.25,2019,4
101,2019-04-10,Kabadiwala,E-Commerce,Waste Management,Bhopal,"Unilever, Beehive Capital Advisor, ABCOM Investments, Parekh Marine Transport,",Unknown,3.55298625,2019,4
102,2019-04-13,Tripoto,Gaming & Entertainment,Travel,Delhi,"Orchid India, Hornbill Orchid India Fund, Chiratae Ventures (formerly IDG Ventures), 3one4 Capital, Lasmer NV",Series B,29.62884375,2019,4
103,2019-04-12,Azah,Healthcare & Hospitality,Organic Wellness,Gurgaon,Unnamed angel investors,Seed Funding,1.65,2019,4
104,2019-04-11,Setu,Finance,Banking,Bangalore,Lightspeed India Partners,Seed Funding,28.875,2019,4
105,2019-04-10,Toppr,Education,E-Learning,Mumbai,Milestone,Debt,52.146765,2019,4
106,2019-04-10,Craftsvilla,E-Commerce,Fashion And Apparel,Mumbai,Supera Pte Ltd,Debt,20.15883375,2019,4
107,2019-04-10,Unacademy,Education,E-Learning,Bangalore,Kalyan Krishnamurthy,Seed/ Angel Funding,2.53275,2019,4
108,2019-04-11,Clevertap,Software,Mobile Analytics And Marketing,Mumbai,"Sequoia India, Tiger Global Management, Accel Partners",Series B,214.5,2019,4
109,2019-04-19,My Healthcare,E-Commerce,Software Solutions,Bangalore,Sixth Sense Ventures,Series A,24.75,2019,4
110,2019-04-19,Krazybee,E-Commerce,Lending Platform,Bangalore,"BAC Acquisitions, Unifi AIF, BRD Securities, Northern R Capital",Debt,118.3215,2019,4
111,2019-04-17,Shuttl,Logistics,Bus Aggregation,Gurgaon,New Atlantic Ventures,Unknown,41.25,2019,4
112,2019-04-17,Increff,Software,Supply-Chain Technology Solutions,Bangalore,"021 Capita, Binny Bansal",Series A,24.75,2019,4
113,2019-02-01,Fleetx,Cutting Edge Tech,Logistics,Gurgaon,India Quotient and LetsVentures Angel Fund,Seed,0.0,2019,2
114,2019-02-08,Zilingo,E-Commerce,Fashion  Apparel,Bangalore,"Sequoia Capital and Temasek Holdings, EDBI, Burda Principal Investments, and Sofina",Series D,1864.5,2019,2
115,2019-02-13,Nanoclean Global,Software,Anti-Pollution,Delhi,"LetsVenture, PitchRight Venture, 91SpringBoard, AL Nour International Holdings and Mark V Investments",Series A,4.95,2019,2
116,2018-02-14,Oyo,Software,Budget Rooms,Gurgaon,DiDi Chuxing,Unknown,825.0,2018,2
117,2019-01-03,Cardekho,Automobile,Online Marketplace,Jaipur,"Sequoia India, Hillhouse Capital, Alphabets growth investment arm Capital G and Axis Bank",Series C,907.5,2019,1
118,2019-01-04,Vyome Therapeutics Inc,Healthcare & Hospitality,Specialty Pharmaceutical,Bangalore,"Iron Pillar, Perceptive Advisors, Romulus Capital and Kalaari Capital",Series D,181.5,2019,1
119,2019-01-04,Samunnati,Finance,Non-Banking Fiothercial Company,Chennai,"MASSIF, a Dutch government fund",Debt,41.25,2019,1
120,2018-12-04,Manch,Gaming & Entertainment,Hyperlocal Content,Delhi,Stellaris Venture Partners,Seed Funding,5.775,2018,12
121,2018-12-01,Urbanclap Technologies Pvt Ltd,Software,Home Services Marketplace,Delhi,Steadview Capital and Vy Capital.,Series D,412.5,2018,12
122,2018-12-02,Guiddoo,Logistics,Platform For Travel Agents,Mumbai,Individual Investors,Seed,6.6,2018,12
123,2018-12-02,Career Anna,Education,Video-Based Certification Trainings,Gurgaon,Individual Investors,Seed,4.719,2018,12
124,2018-12-04,Nagpur Wholesale,E-Commerce,Ecommerce,Nagpur,Omphalos Ventures India LLP,Seed Funding,1.17975,2018,12
125,2018-12-06,Shopkirana,Logistics,Ecommerce,Indore,"Info Edge, AET Fund, Akatsuki and Incubate Fund from Japan and Better Capital AngelList syndicate.",Seed Funding,16.5,2018,12
126,2018-12-06,Buildsupply,Software,Real Estate Erp,Gurgaon,"Venture Highway, GREE Ventures, Space Matrix, Individual Investors",Series A,28.875,2018,12
127,2018-11-01,Godesi,Consumables,Regional Flavours,Bangalore,Lead Angels Network,Seed/ Angel Funding,1.14670875,2018,11
128,2018-11-03,Veritas Finance,Finance,Msme Fiotherce,Chennai,"Norwest Venture Partners, CDC Group, the UKs Development Finance Institution and P Surendra Pai",Series D,229.34175,2018,11
129,2018-11-06,Meesho,E-Commerce,Social Commerce,Bangalore,"Shunwei Capital, DST Partners and RPS Ventures",Series C,412.5,2018,11
130,2018-11-08,Mobile Premier League,Gaming & Entertainment,Mobile E-Sports,Bangalore,Undisclosed,Series A,4.125,2018,11
131,2018-11-08,Ar Bon Vivants,Consumables,Meat Retail Chain,Jaipur,"RB Investments, Singapore",Unknown,8.25,2018,11
132,2018-11-12,Blackbuck,Consumables,Pos For Online Ordering,Bangalore,Tiger Global,Series A,8.25,2018,11
133,2018-11-12,Milkbasket,Consumables,Micro-Delivery Grocery Service,Delhi,Mayfield Fund,Series B,10.725,2018,11
134,2018-11-13,Driveu,Logistics,On-Demand Drivers,Bangalore,Stevens Creek Ventures,Equity and Debt,8.25,2018,11
135,2018-11-14,Cleansecar,Software,Car Wash,Bangalore,Venture Catalysts,Seed/ Angel Funding,4.125,2018,11
136,2018-11-19,Automation Anywhere,Cutting Edge Tech,Robotics,Outside India,SoftBank Vision Fund,Series B,2475.0,2018,11
137,2018-11-20,Healthi,Healthcare & Hospitality,Wellness Coach,Bangalore,"Sistema Asia Fund, VC Samsung NEXT, Chiratae Ventures, Inventus Capital, Blume Ventures and Innoven Capital.",Series B,49.5,2018,11
138,2018-11-21,Genius Corner,Education,Personalized Learning,Noida,Individual investors,Seed Funding,2.2935,2018,11
139,2018-11-22,Aavishkaar-Intellecap Group,Finance,Sme Funding,Mumbai,Teachers Insurance and Annuity Association (TIAA),Unknown,255.75,2018,11
140,2018-11-22,Skillbox,Gaming & Entertainment,Art,Gurgaon,Individual investors,Seed Funding,0.0,2018,11
141,2018-11-23,Signzy,Cutting Edge Tech,Digital Onboarding Solution,Bangalore,"Stellaris Venture Partners and Kalaari Capital, Rajan Anandan from Google, Dilip Khandwelwal from SAP Labs India, and Amrish Rau from PayU India",Series A,28.05,2018,11
142,2018-11-24,Engineerai,Software,Ai Platform,Bangalore,"Lakestar and Jungle Ventures, Softbanks DeepCore.",Series A,243.375,2018,11
143,2018-11-25,Incred,Finance,Sme Lending,Bangalore,"Paragon Partners, Individual Investors",Unknown,346.5,2018,11
144,2018-11-25,Roposo,Gaming & Entertainment,Video Sharing,Delhi,Bertelsmann India Investments,Series B,14.025,2018,11
145,2018-10-01,Northmist,Lifestyle & Fashion,Mens Wear,Delhi,Prashant Jaiswal,Seed/ Angel Funding,0.0,2018,10
146,2018-10-02,Origo Commodities India Pvt Ltd,Logistics,Supply Chain,Hyderabad,"Cooperative Oikocredit, Caspian and Hivos-Triodos Fund",Seed/ Angel Funding,90.75,2018,10
147,2018-10-04,Grover Zampa,Consumables,Wine,Mumbai,Ravi Viswanathan,Unknown,67.65,2018,10
148,2018-10-05,Droom,Automobile,New And Used Cars Platform,Gurgaon,ZigExN,Series E,24.75,2018,10
149,2018-10-11,Innov8,Real Estate,Co-Working,Delhi,Credence Family Office,Seed,33.0,2018,10
150,2018-10-12,Blackbuck,Logistics,Largest Trucking Platform,Bangalore,Sequoia Capital India,Unknown,121.11,2018,10
151,2018-10-12,Letstransport,Logistics,Book Trucks Online,Bangalore,Fosun International,Series C,99.0,2018,10
152,2018-09-01,Netmeds,Software,Online Pharmacy Chain,Chennai,"Sistema Asia Fund, Sistema JSFC and Tanncam Investment",Unknown,288.75,2018,9
153,2018-09-03,Udaan,Logistics,Logistics And Shipping,Bangalore,DST Global and Lightspeed Venture Partners global fund.,Unknown,1856.25,2018,9
154,2018-09-03,Daily Hunt,Software,News And Ebooks Mobile App,Bangalore,Falcon Edge,Unknown,52.7175,2018,9
155,2018-09-04,3Hcare,Healthcare & Hospitality,Healthcare Service Provider,Delhi,undisclosed,Seed,8.25,2018,9
156,2018-09-04,Happygoeasy,Software,Online Travel Agecy,Gurgaon,"Korea Investment Partners (KIP), Samsung and China-based CITIC Capital and others",Unknown,0.0,2018,9
157,2018-09-05,Nykaa,Software,Online Marketplace For Multi-Brand Beauty Cosmetic And Wellness Products,Mumbai,Lighthouse,Unknown,1296.9,2018,9
158,2018-09-05,Mad Street Den,Software,Computer Vision And Artificial Intelligence Ai Platform,Chennai,KDDI,Unknown,0.0,2018,9
159,2018-09-06,Dream11,Software,Online Gaming Platform,Mumbai,"Tencent, Kalaari Capital and Private equity firm Multiples Alternate Asset Management",Unknown,825.0,2018,9
160,2018-09-10,Mamaearth,Healthcare & Hospitality,Online Marketplace For Mother And Babycare Products,Gurgaon,Stellaris Ventures & Others,Unknown,33.0,2018,9
161,2018-09-11,Autogrid,Software,Ai-Based Energy Optimisation And Control Provider,Bangalore,"CLP Holdings Group, Innogy, rstead, and Tenaska",Unknown,264.0,2018,9
162,2018-09-11,Pharmeasy,Software,Online Marketplace For Pharmaceutical Products,Mumbai,InnoVen Capital,Debt,45.375,2018,9
163,2018-09-11,Upwards,Finance,Online Micro Lending Marketplace,Mumbai,"Shunwei Capital,Quotient, Mayfield & Others",Unknown,41.25,2018,9
164,2018-09-12,Kissht,Finance,Online Lending Platform,Mumbai,"Vertex Ventures Southeast Asia (SEA) and India and Sistema Asia Fund, Fosun RZ Capital, Ventureast, and Endiya Partners.\n\n",Unknown,247.5,2018,9
165,2018-08-01,Dishq,Consumables,Personalisation Technology Firm Focusing On The Food And Beverage Industry,Bangalore,"Farm To Fork, Arts Alliance, The Syndicate Fund, Sven Hensen, Zeroth and Artesian Venture Partners",Seed/ Angel Funding,3.3,2018,8
166,2018-08-01,Healthfin,Finance,Patient Fiothercing Platform,Pune,"Axilor, Sprout Venture Partners and others",Seed/ Angel Funding,0.0,2018,8
167,2018-08-02,Samosa Labs,Software,Social Media And Chat Entertainment Platform,Hyderabad,Xiaomi and Sequoia Capital India,Unknown,57.75,2018,8
168,2018-08-03,Ziffyhomes,Software,Online Home Rental Marketplace,Gurgaon,Y Combinator,Unknown,0.99,2018,8
169,2018-08-07,My Omnamo,Software,Holy Platform Offering Customised Puja Packages To Individuals And Corporates,Mumbai,undisclosed,Seed/ Angel Funding,8.25,2018,8
170,2018-08-07,Shopx,Software,Assisted E-Commerce Platform,Bangalore,Fung Strategic Holdings,Unknown,288.75,2018,8
171,2018-08-07,Makemytrip,Software,Online Travel Aggregator,Gurgaon,MakeMyTrip Limited,Unknown,82.5,2018,8
172,2018-08-08,Hansel Io,Software,Real-Time Mobile App Management,Bangalore,Vertex Ventures,Seed/ Angel Funding,33.0,2018,8
173,2018-08-08,Metro Bikes,Software,Online Bike Rental Marketplace,Bangalore,"Sequoia Capital India Advisors, Accel Partners and G Raghunandan",Unknown,100.65,2018,8
174,2018-08-08,Phone Pe,Software,Upi Payments App,Bangalore,Flipkart,Unknown,544.5,2018,8
175,2018-08-09,Quizizz,Education,E-Learning Platform,Bangalore,"Nexus Venture Partners, Prime Venture Partners and Others",Seed/ Angel Funding,24.75,2018,8
176,2018-08-09,Happy Emi,Finance,Consumer Fiothercing Platform,Bangalore,AJ Ventures and Jain International Trade Organisation (JITO),Seed/ Angel Funding,8.25,2018,8
177,2018-08-13,Inthree,Software,Rural E-Commerce Platform,Chennai,"Ventureast, Orios Venture Partners and the IAN Fund",Seed/ Angel Funding,33.0,2018,8
178,2018-08-13,Observe Ai,Software,Ai Based Solutions Platform,Bangalore,"Nexus Venture Partners, MGV, Liquid 2 Ventures, Hack VC, Emergent Ventures and Y Combinator",Unknown,66.0,2018,8
179,2018-08-16,Enakshi,Software,Ai Based Solutions Platform,Ahmedabad,undisclosed,Seed/ Angel Funding,0.94719075,2018,8
180,2018-08-17,Eazydiner,Software,Online Restaurant Table Reservation Platform,Gurgaon,Denlow Investment Trust and Beenext,Unknown,48.2625,2018,8
181,2018-08-20,Finzy,Finance,Online Loan Matchmaking Platform,Bangalore,undisclosed,Seed,8.25,2018,8
182,2018-08-20,Rawpressery,Software,Online Organic Juice Delivery Service,Mumbai,Alteria Capital,Debt,39.6,2018,8
183,2018-08-22,Pi Ventures,Software,Applied Artificial Intelligence And Iot Focusedplatform,Bangalore,CDC Group plc,Unknown,49.5,2018,8
184,2018-08-22,Revv,Software,Online Indian Car Rental Platform,Gurgaon,"Hyundai, Edelweiss and Beenext, Dream Incubator, Sunjay Kapoor and Telama Investment",Unknown,117.7275,2018,8
185,2018-08-26,Zestmoney,Software,Online Lending Platform,Bangalore,"Xiaomi,PayU, Ribbit Capital and Omidyar Network",Unknown,110.55,2018,8
186,2018-08-26,Shubh Loans,Finance,Customer Sourcing Platform,Bangalore,"Saama Capital, SRI Capital, Beenext, and Pravega Ventures",Unknown,34.65,2018,8
187,2018-08-27,Myupchar,Healthcare & Hospitality,Local Language Health Content App,Delhi,"Nexus Venture Partners, Omidyar Network and Shunwei Capital",Unknown,41.25,2018,8
188,2018-08-28,Narvar,Software,Post-Purchase Customer Engagement Platform,Bangalore,Accel (formerly known as Accel Partners),Unknown,24.75,2018,8
189,2018-08-30,True North,Finance,Private Equity Firm,Mumbai,undisclosed,Unknown,4950.0,2018,8
190,2018-07-01,Leena Ai,Software,Hr Virtual Agent For Employees,Gurgaon,Y Combinator,Seed/ Angel Funding,0.0,2018,7
191,2018-07-02,Biryani By Kilo,Software,Online Food Delivery,Gurgaon,Ajay Relan and Vinay Mittal,Seed/ Angel Funding,8.25,2018,7
192,2018-07-04,Anchanto,Software,E-Commerce Fulfilment Platform,Pune,MDI Ventures & Telkom Indonesia,Unknown,33.0,2018,7
193,2018-07-05,Loan Tap,Software,Online Lending Platform For Salaried Professionals,Mumbai,"Shunwei Capital, Tuscan Ventures, Ashish Goenka, VC firms India Quotient and Kae Capital",Unknown,51.5625,2018,7
194,2018-07-06,Policybazaar,Software,Online Insurance Selling Platform,Gurgaon,Info Edge (India) Ltd and Temasek,Unknown,228.525,2018,7
195,2018-07-09,Zippserv,Software,Online Platform For Risk-Assessment Services For Real Estate Investments,Bangalore,Info Edge (India) Ltd,Seed/ Angel Funding,3.63,2018,7
196,2018-07-09,Groww,Software,Online Platform That Sells Direct Plans Of Mutual Funds,Bangalore,"Insignia Ventures Partners, Lightbridge Partners & Kairos",Seed/ Angel Funding,9.075,2018,7
197,2018-07-10,Avenue Growth,Software,Online Platform That Connects Brands With Freelance Sales Professionals,Gurgaon,"Avtar Monga, chief operating office at IDFC Bank, Aditya Malik & Others",Seed/ Angel Funding,3.60525,2018,7
198,2018-07-10,Inicu,Healthcare & Hospitality,Med-Tech Platform Providing Care For Newborns,Delhi,Venture Catalysts,Seed/ Angel Funding,0.0,2018,7
199,2018-07-10,Kinara Capital,Finance,Lending Platform For Micro And Small Enterprises,Bangalore,ResponsAbility,Unknown,41.25,2018,7
