Sr No,date,startup,vertical,subvertical,city,investors,round,amount,year,month
811,2017-05-10,Vidooly,Software,Video Intelligence Platform,Noida,"Times Internet, GVFL",Unknown,11.55,2017,5
812,2017-05-10,Shopclues,E-Commerce,Online Marketplace,Gurgaon,InnoVen Capital,Unknown,63.525,2017,5
813,2017-05-10,Fourth Ambit,Software,Community Building Platform,Bangalore,1Crowd,Seed Funding,4.95,2017,5
814,2017-05-10,Chymera Vr,Software,Advertising Platform For Virtual Reality,Bangalore,"Varsha Rao, Surojit Chatterjee, Nirav Choksi & Others",Seed Funding,0.0,2017,5
815,2017-05-11,Early Salary,Software,Online Lending Platform,Pune,"DG Ventures India, Dewan Housing Finance Corp",Unknown,33.0,2017,5
816,2017-05-11,Book My Diamond,E-Commerce,Diamond B2B Etailer,Mumbai,Chirag Nikunj Sheth & Others,Seed Funding,0.0,2017,5
817,2017-05-11,Ion Energy,Software,Clean Tech Startup,Mumbai,"Aakrit Vaish, Swapan Rajdev, Sushill Jiwarajka",Seed Funding,0.0,2017,5
818,2017-05-12,Legal Raasta,Software,Legal Services To Smes  Individuals,Delhi,Impanix Capital,Unknown,41.25,2017,5
819,2017-05-12,Log 9 Materials,Software,Nanotech Product Developer,Bangalore,GEMs,Seed Funding,0.0,2017,5
820,2017-05-12,Remit Guru,Software,Digital Money Transfer Platform,Mumbai,"Infibeam, CCavenue",Unknown,3.8445,2017,5
821,2017-05-12,Aequm,E-Commerce,Cloud Ecommerce Platform,Bangalore,undisclosed investors,Seed Funding,8.25,2017,5
822,2017-05-15,Zapty,Software,Project Management Tool,Bangalore,IdeaSpring Capital,Seed Funding,4.125,2017,5
823,2017-05-15,Vernacularai,Software,Multi-Lingual Ai Platform For Businesses,Bangalore,Kstart Capital,Seed Funding,0.0,2017,5
824,2017-05-16,Nikiai,Software,Ai-Based Chatbot,Bangalore,SAP,Unknown,0.0,2017,5
825,2017-05-16,Telr,Software,Online Payment Gateway,Mumbai,Innovations East,Unknown,24.75,2017,5
826,2017-05-16,Fynd,E-Commerce,Fashion Ecommerce Portal,Mumbai,Rocketship,Unknown,4.125,2017,5
827,2017-05-17,Genie,Software,Hyperlocal Delivery And Logistics Mobile App,Chennai,undisclosed investors,Seed Funding,2.0625,2017,5
828,2017-05-17,Paysense,Software,Online Lending Platform,Mumbai,Jungle Ventures,Unknown,43.725,2017,5
829,2017-05-18,The Good Life,E-Commerce,Online Luxury Tea Etailer,Mumbai,"Ayesha Takia Azmi, Abu Farhan Azmi",Seed Funding,8.25,2017,5
830,2017-05-18,Pumpkart,E-Commerce,Online Water Pumps Etailer,Chandigarh,Dr. Ritesh Malik,Seed Funding,0.0,2017,5
831,2017-05-18,Paytm,E-Commerce,Mobile Wallet  Ecommerce Platform,Bangalore,SoftBank Group,Unknown,11550.0,2017,5
832,2017-05-19,Ezcred,Software,Consumer Lending Platform,Bangalore,"Dheeraj Pandey, Rajesh Yohannan, Akash Garg",Seed Funding,8.25,2017,5
833,2017-05-19,Healthsutra,Consumables,Health Food Maker,Hyderabad,"Ankur Capital, Hyderabad Angels",Seed Funding,0.0,2017,5
834,2017-05-20,Yepme,E-Commerce,Private Fashion Brand Etailer,Delhi,Gokaldas Exports Ltd,Unknown,0.0,2017,5
835,2017-05-22,Delhivery,Logistics,Ecommerce Logistics Provider,Delhi,Fosun International,Unknown,247.5,2017,5
836,2017-05-22,Zipgrid,Software,Cashless Paperless Solutions For Housing Societies,Mumbai,"JLL, 1Crowd",Seed Funding,4.125,2017,5
837,2017-05-23,Travelspice,E-Commerce,Travel Ecommerce Portal,Hyderabad,Eagle10 Ventures,Seed Funding,0.0,2017,5
838,2017-05-23,Magicpin,Software,Hyperlocal Discovery Platform,Gurgaon,"Lightspeed Venture Partners, Vy Capital,",Unknown,54.45,2017,5
839,2017-05-23,The Print,Software,News Portal,Delhi,"Ratan Tata, Nandan Nilekani, Uday Kotak, Vijay Shekhar Sharma, Kiran Mazumdar-Shaw, Rajiv C Mody",Seed Funding,0.0,2017,5
840,2017-05-23,Box8,Software,Food Delivery Platform,Mumbai,Trifecta Capital,Unknown,8.25,2017,5
841,2017-05-24,Gennext Students,Software,Online Tutoring Services,Mumbai,Undisclosed Investors,Seed Funding,4.785,2017,5
842,2017-05-25,Aye Finance,Finance,Non-Banking Fiothercial Company,Gurgaon,Blue Orchard,Unknown,66.0,2017,5
843,2017-05-26,Whatsloan,Software,Online Lending Mobile App,Bangalore,Lahiri Musics family office,Seed Funding,0.0,2017,5
844,2017-05-29,Cube Consumer Services,Software,Fiotherce Management Mobile App,Mumbai,undisclosed,Seed Funding,0.0,2017,5
845,2017-05-29,Nivesh,Software,Online Mf Investment Platform,Noida,"PV Sahad, Sandeep Shroff, Rahul Gupta",Seed Funding,0.0,2017,5
846,2017-05-29,Wowflux,Software,Image Processing Solution,Delhi,Undisclosed Investors,Seed Funding,0.0,2017,5
847,2017-05-29,Collateral Medical,E-Commerce,Online Medical Equipment Supplier,Mumbai,Carpediem Capital,Unknown,28.875,2017,5
848,2017-05-30,Loadshare,Logistics,Express Logistics Network,Bangalore,Matrix Partners,Seed Funding,0.0,2017,5
849,2017-05-30,Simplilend,Software,Online Lending Platform,Delhi,Undisclosed Investors,Seed Funding,0.0,2017,5
850,2017-05-30,Supr Daily,Software,Subscription Based Delivery Platform,Mumbai,"Soma Capital, Great Oaks Ventures, 122 West Ventures",Unknown,12.375,2017,5
851,2017-05-30,Swiggy,Software,Online Food Delivery Platform,Bangalore,"Nasper, Accel India, SAIF Partners, Bessemer Venture Partners, Harmony Partners, Norwest Venture Partners",Unknown,660.0,2017,5
